Day,China,Italy,Iran,S Korea,Spain,Germany,France,USA,Switzerland,Norway,Denmark,Japan,Netherlands,UK,Belgium,Austria,Bahrain,Australia,Singapore,China Deaths,Italy Deaths,Iran Deaths
0,45,79,43,51,59,53,57,42,40,54,92,41,82,51,50,55,40,41,43,2,3,12
1,62,150,64,104,84,66,100,57,55,84,264,53,128,85,109,79,47,52,45,2,7,16
2,121,227,95,204,125,117,130,85,72,111,516,59,188,115,169,99,49,57,47,3,10,19
3,198,320,139,346,169,151,191,111,102,145,676,65,264,163,200,131,49,63,50,3,12,26
4,278,445,245,602,228,188,212,176,198,167,788,73,321,209,239,182,49,73,58,6,17,34
5,440,650,388,763,282,240,285,252,247,190,,85,382,273,267,246,49,80,67,9,21,43
6,571,888,593,977,365,349,423,351,343,275,,93,503,319,314,361,49,92,73,17,29,54
7,830,1128,978,1261,430,534,613,495,362,277,,105,614,373,399,428,56,112,75,25,34,66
8,1287,1694,1501,1766,674,684,949,641,476,489,,132,,456,,,79,127,77,41,52,77
9,1975,2036,2336,2337,1231,847,1126,932,,621,,144,,590,,,109,156,81,56,79,92
10,2744,2502,2922,3150,1695,1112,1412,1203,,,,157,,,,,,,84,80,107,107
11,4515,3089,3513,3736,2277,1296,1784,1561,,,,164,,,,,,,85,106,148,124
12,5974,3858,4747,4212,3146,1567,2281,,,,,186,,,,,,,86,132,197,145
13,7711,4636,5823,4812,3779,2369,2876,,,,,210,,,,,,,89,170,233,194
14,9692,5883,6566,5328,,3059,,,,,,230,,,,,,,89,213,366,237
15,11791,7375,7161,5766,,,,,,,,239,,,,,,,90,259,463,291
16,14380,9172,8042,6284,,,,,,,,254,,,,,,,91,304,631,
17,17205,10149,9000,6767,,,,,,,,268,,,,,,,93,361,,
18,20440,12462,10075,7134,,,,,,,,284,,,,,,,96,425,,
19,24324,15113,,7382,,,,,,,,317,,,,,,,98,490,,
20,28018,,,7513,,,,,,,,349,,,,,,,102,563,,
21,31161,,,7755,,,,,,,,408,,,,,,,106,637,,
22,34546,,,7869,,,,,,,,455,,,,,,,108,722,,
23,37168,,,7979,,,,,,,,488,,,,,,,110,811,,
24,40171,,,,,,,,,,,514,,,,,,,112,908,,
25,42638,,,,,,,,,,,568,,,,,,,117,1016,,
26,44653,,,,,,,,,,,620,,,,,,,130,1113,,
27,46472,,,,,,,,,,,,,,,,,,138,1259,,
28,,,,,,,,,,,,,,,,,,,150,,,
29,,,,,,,,,,,,,,,,,,,160,,,
